No.,UID,Ward,Name,Designation,Department,Password
102,MUMGN08006,G/North,Vivek Tawde,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
103,MUMGN08007,G/North,Arun Jagdale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
104,MUMGN08008,G/North,Dattatray Shirodkar,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
105,MUMGN08009,G/North,Baban More,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
106,MUMGS09003,G/South,Bhalchandra Mhatre,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
107,MUMGS09004,G/South,Vijay Shinde,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
108,MUMGS09005,G/South,Chandrashekhar Kharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
109,MUMGS09006,G/South,Amol Salvi,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
110,MUMGS09007,G/South,Kiran Suryavanshi,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
111,MUMGS09008,G/South,Ganesh Parab,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
112,MUMGS09009,G/South,Milind Kute,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
113,MUMHE10003,H/East,Vasant Pardeshi,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
114,MUMHE10004,H/East,Swapnil Jadhav,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
115,MUMHE10005,H/East,Anil Gharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
116,MUMHE10006,H/East,Sandip Pawar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
117,MUMHE10007,H/East,Avinash Sutar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
118,MUMHE10008,H/East,Kishore Gore,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
119,MUMHE10009,H/East,Rajesh Vichare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
120,MUMHW11003,H/West,Sanjay Kulkarni,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
121,MUMHW11004,H/West,Shashikant Kokate,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
122,MUMHW11005,H/West,Eknath Mandlik,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
123,MUMHW11006,H/West,Siddharth Kadam,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
124,MUMHW11007,H/West,Manoj Khopkar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
125,MUMHW11008,H/West,Jayant Chavan,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
126,MUMHW11009,H/West,Chetan Raut,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
127,MUMKE12003,K/East,Shirish Tambe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
128,MUMKE12004,K/East,Sachin Koli,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
129,MUMKE12005,K/East,Satish Mohite,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
130,MUMKE12006,K/East,Tushar Mane,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
131,MUMKE12007,K/East,Mangesh Gokhale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
132,MUMKE12008,K/East,Mahesh Gharpure,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
133,MUMKE12009,K/East,Kishor Narvekar,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
134,MUMKW13003,K/West,Devendra Gaikwad,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
135,MUMKW13004,K/West,Umesh Thakur,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
136,MUMKW13005,K/West,Prakash Kamble,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
137,MUMKW13006,K/West,Ramesh Gholap,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
138,MUMKW13007,K/West,Shrikant Solanki,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
139,MUMKW13008,K/West,Tanaji Bandal,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
140,MUMKW13009,K/West,Bhupesh Rane,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
141,MUML014003,L,Pradeep Wani,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
142,MUML014004,L,Pandurang Vaidya,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
143,MUML014005,L,Kailas Deshmukh,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
144,MUML014006,L,Girish Bhoir,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
145,MUML014007,L,Nitin Bhosle,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
146,MUML014008,L,Prashant Sonawane,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
147,MUML014009,L,Rohit Waghmare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
148,MUMME15003,M/East,Abhay Thorat,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
149,MUMME15004,M/East,Dilip Bhide,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
150,MUMME15005,M/East,Subhash Bhalerao,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
151,MUMME15006,M/East,Pramod Malvankar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
152,MUMME15007,M/East,Atul Patil,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
153,MUMME15008,M/East,Suresh Chaudhari,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
154,MUMME15009,M/East,Ravindra Sawant,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
155,MUMMW16003,M/West,Ajit Londhe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
156,MUMMW16004,M/West,Sambhaji Pednekar,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
157,MUMMW16005,M/West,Jitendra Dhumal,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
158,MUMMW16006,M/West,Hemant Tawde,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
159,MUMMW16007,M/West,Gajanan Jagdale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
160,MUMMW16008,M/West,Dnyaneshwar Shirodkar,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
161,MUMMW16009,M/West,Manohar More,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
162,MUMN017003,N,Vilas Mhatre,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
163,MUMN017004,N,Vinod Shinde,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
164,MUMN017005,N,Sameer Kharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
165,MUMN017006,N,Rajendra Salvi,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
166,MUMN017007,N,Deepak Suryavanshi,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
167,MUMN017008,N,Ashok Parab,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
168,MUMN017009,N,Sudhakar Kute,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
169,MUMPN18003,P/North,Yogesh Pardeshi,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
170,MUMPN18004,P/North,Sunil Jadhav,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
171,MUMPN18005,P/North,Sudhir Gharat,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
172,MUMPN18006,P/North,Santosh Pawar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
173,MUMPN18007,P/North,Bhagwan Sutar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
174,MUMPN18008,P/North,Vivek Gore,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
175,MUMPN18009,P/North,Arun Vichare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
176,MUMPS19003,P/South,Dattatray Kulkarni,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
177,MUMPS19004,P/South,Baban Kokate,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
178,MUMPS19005,P/South,Bhalchandra Mandlik,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
179,MUMPS19006,P/South,Vijay Kadam,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
180,MUMPS19007,P/South,Chandrashekhar Khopkar,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
181,MUMPS19008,P/South,Amol Chavan,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
182,MUMPS19009,P/South,Kiran Raut,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
183,MUMRC20003,R/Central,Ganesh Tambe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
184,MUMRC20004,R/Central,Milind Koli,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
185,MUMRC20005,R/Central,Vasant Mohite,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
186,MUMRC20006,R/Central,Swapnil Mane,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
187,MUMRC20007,R/Central,Anil Gokhale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
188,MUMRC20008,R/Central,Sandip Gharpure,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
189,MUMRC20009,R/Central,Avinash Narvekar,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
190,MUMRN21003,R/North,Kishore Gaikwad,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
191,MUMRN21004,R/North,Rajesh Thakur,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
192,MUMRN21005,R/North,Sanjay Kamble,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
193,MUMRN21006,R/North,Shashikant Gholap,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
194,MUMRN21007,R/North,Eknath Solanki,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
195,MUMRN21008,R/North,Siddharth Bandal,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
196,MUMRN21009,R/North,Manoj Rane,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
197,MUMRS22003,R/South,Jayant Wani,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
198,MUMRS22004,R/South,Chetan Vaidya,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
199,MUMRS22005,R/South,Shirish Deshmukh,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
200,MUMRS22006,R/South,Sachin Bhoir,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
201,MUMRS22007,R/South,Satish Bhosle,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
202,MUMRS22008,R/South,Tushar Sonawane,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
203,MUMRS22009,R/South,Mangesh Waghmare,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
204,MUMS023003,S,Mahesh Thorat,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
205,MUMS023004,S,Kishor Bhide,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
206,MUMS023005,S,Devendra Bhalerao,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
207,MUMS023006,S,Umesh Malvankar,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
208,MUMS023007,S,Prakash Patil,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
209,MUMS023008,S,Ramesh Chaudhari,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
210,MUMS023009,S,Shrikant Sawant,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
211,MUMT024003,T,Tanaji Londhe,Departmental Officer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_dept
212,MUMT024004,T,Bhupesh Pednekar,Departmental Officer (Roads & Infrastructure),BMC Roads Department,mum_dept
213,MUMT024005,T,Pradeep Dhumal,Departmental Officer (Solid Waste Management),BMC Solid Waste Management Department,mum_dept
214,MUMT024006,T,Pandurang Tawde,Departmental Officer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_dept
215,MUMT024007,T,Kailas Jagdale,Departmental Officer (Water Works / Hydraulic),BMC Hydraulic Engineer's Department,mum_dept
216,MUMT024008,T,Girish Shirodkar,Departmental Officer (Gardens & Trees),BMC Gardens Department,mum_dept
217,MUMT024009,T,Nitin More,Departmental Officer (Sewerage Operations),BMC Sewerage Operations Department,mum_dept
218,MUMA001010,A,Er. Hemant Suryavanshi,Field Engineer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_engg
219,MUMA001011,A,Er. Gajanan Parab,Field Engineer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_engg
220,MUMA001012,A,Er. Dnyaneshwar Kute,Field Engineer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_engg
221,MUMA001013,A,Er. Manohar Pardeshi,Field Engineer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_engg
222,MUMA001014,A,Er. Vilas Jadhav,Field Engineer (Mechanical & Electrical),BMC Mechanical & Electrical Department,mum_engg
223,MUMA001015,A,Er. Vinod Gharat,Field Engineer (Roads & Pavements),BMC Roads Department,mum_engg
224,MUMA001016,A,Er. Sameer Pawar,Field Engineer (Roads & Pavements),BMC Roads Department,mum_engg
225,MUMA001017,A,Er. Rajendra Sutar,Field Engineer (Roads & Pavements),BMC Roads Department,mum_engg
226,MUMA001018,A,Er. Deepak Gore,Field Engineer (Roads & Pavements),BMC Roads Department,mum_engg
227,MUMA001019,A,Er. Ashok Vichare,Field Engineer (Roads & Pavements),BMC Roads Department,mum_engg
228,MUMA001020,A,Er. Sudhakar Kulkarni,Field Engineer (Solid Waste Operations),BMC Solid Waste Management Department,mum_engg
229,MUMA001021,A,Er. Yogesh Kokate,Field Engineer (Solid Waste Operations),BMC Solid Waste Management Department,mum_engg
230,MUMA001022,A,Er. Sunil Mandlik,Field Engineer (Solid Waste Operations),BMC Solid Waste Management Department,mum_engg
231,MUMA001023,A,Er. Sudhir Kadam,Field Engineer (Solid Waste Operations),BMC Solid Waste Management Department,mum_engg
232,MUMA001024,A,Er. Santosh Khopkar,Field Engineer (Solid Waste Operations),BMC Solid Waste Management Department,mum_engg
233,MUMA001025,A,Er. Bhagwan Chavan,Field Engineer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_engg
234,MUMA001026,A,Er. Vivek Raut,Field Engineer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_engg
235,MUMA001027,A,Er. Arun Tambe,Field Engineer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_engg
236,MUMA001028,A,Er. Dattatray Koli,Field Engineer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_engg
237,MUMA001029,A,Er. Baban Mohite,Field Engineer (Storm Water Drains),BMC Storm Water Drains Department (SWD),mum_engg
